Chem. Formel,Fluid,Medium (deutsch),Meidum (svenska),"""Medium"" (rumänisch)",Conc %,Temp. øC,"1.4571 
SS","Titan-
ium","Tanta-
lum","Hast-
elloy C","Plat-
inum",Al3O,PTFE,"Neo-
prene","Hart 
rubber",PFA
CH3-COH,Acetaldehyde,Acetaldehyd,Acetaldehyd,,,Amb. Temp.,A,A,A,A,A,A,A,C,B,
C3H6O,Acetone,Aceton,Aceton,,100,Amb. Temp.,B,A,A,A,A,A,A,B,B,A
,Alum,Alaun,Alun,,10,Amb. Temp.,A,A,A,A,A,A,A,A,A,
AlCl3 oder (Al2Cl6),Aluminium chloride,Aluminiumchlorid,Aluminiumklorid,,10,Amb. Temp.,C,A,A,A,A,A,A,A,B,
AlCl3 oder (Al2Cl6),Aluminium chloride,Aluminiumchlorid,,,10,100,C,A,A,A,A,A,A,A,B,
AlCl3 oder (Al2Cl6),Aluminium chloride,Aluminiumchlorid,,,25,60,C,A,A,A,A,A,A,A,B,
AlCl3 oder (Al2Cl6),Aluminium chloride,Aluminiumchlorid,,,25,100,,C,A,A,A,A,A,A,B,
AlCl3 oder (Al2Cl6),Aluminium chloride,Aluminiumchlorid,,,80,boiling,,C,A,A,A,A,A,A,B,
Al2(SO4)3,Aluminium sulphate,Aluminiumsulfat,Aluminiumsulfat,,10,Amb. Temp.,A,A,A,A,A,A,A,A,A,
Al2(SO4)3,Aluminium sulphate,Aluminiumsulfat,,,10,boiling,A,A,A,A,A,A,A,A,A,
Al2(SO4)3,Aluminium sulphate,Aluminiumsulfat,,,15,50,,A,A,A,A,A,A,A,A,
Al2(SO4)3,Aluminium sulphate,Aluminiumsulfat,,,20,55,,A,A,A,A,A,A,A,A,
Al2(SO4)3,Aluminium sulphate,Aluminiumsulfat,,,25,boiling,,A,A,A,A,A,A,A,A,
Al2(SO4)3,Aluminium sulphate,Aluminiumsulfat,,,50,boiling,,A,A,A,A,A,A,A,A,
Al2(SO4)3,Aluminium sulphate,Aluminiumsulfat,,,55,40,,A,A,A,A,A,A,A,A,
Al2(SO4)3,Aluminium sulphate,Aluminiumsulfat,,,57,120,B,A,A,A,A,A,A,A,A,
CH2O2,Formic acid,Ameisensäure,Myrsyra,,10,Amb. Temp.,A,A,A,A,A,A,A,B,B,A
CH2O2,Formic acid,Ameisensäure,,,10,65,A,A,A,B,A,A,A,B,B,A
CH2O2,Formic acid,Ameisensäure,,,10,boiling,C,A,A,C,A,A,A,B,B,
CH2O2,Formic acid,Ameisensäure,,,20-40,65,A,A,A,B,A,A,A,B,B,A
CH2O2,Formic acid,Ameisensäure,,,50,Amb. Temp.,A,A,A,A,A,A,A,B,B,A
